Story ID,Epic,Story Title,As a,I want,So that,Acceptance Criteria,Priority,Story Points,Build Status,OWASP / Security Notes
US-001,Authentication & Accounts,User registration,prospective user,to sign up with full name / email / password,I can create an account and use the tool,"Valid email + policy-compliant password creates an account and redirects to login; confirm-password must match; duplicate email rejected with a clear message; password stored only as a salted hash",High,5,Partial (UI only),"A07 Auth: strong password policy; A02 Crypto: bcrypt/Argon2 + per-user salt, never plaintext; A03: parameterized insert; A04: rate-limit signup"
US-002,Authentication & Accounts,User login,registered user,to sign in with email and password,I can securely reach my projects,"Valid credentials issue a session/JWT and land on workspace; invalid credentials return a generic message; account throttles/locks after N failed attempts",High,5,Partial (UI navigates without auth),"A07: generic error to block enumeration; brute-force throttling; A02: HttpOnly+Secure+SameSite cookie or secured JWT; A09: log auth failures"
US-003,Authentication & Accounts,Forgot / reset password,registered user,to reset my password via an emailed link,I can regain access when I forget it,"Registered email triggers a time-limited single-use token; identical confirmation shown for known/unknown emails; valid token sets a new password then is invalidated",Medium,5,Partial (UI only),"A07: single-use expiring token; A01: bind token to user; no email-existence disclosure; A02: hash reset token at rest"
US-004,Authentication & Accounts,Logout / session termination,authenticated user,to log out,my session cannot be reused,"Logout invalidates token/cookie server-side; protected routes then redirect to login",Medium,2,Not built,"A07: server-side session invalidation; clear cookies; A05: secure session config"
US-005,User Profile,Manage profile,authenticated user,to edit name / phone / company / designation / bio,my account and proposals show accurate details,"Saving in Settings > Profile persists values and reloads next visit; email change requires re-verification",Medium,3,Partial (UI only),"A01: users edit only their own profile; A03: validate/sanitize all fields; cap lengths"
US-006,User Profile,Upload profile image,authenticated user,to upload a profile picture,my account is personalized,"Only allowed type/size accepted and ProfileImageUrl stored; oversized or non-image files rejected",Low,3,Not built,"A03/A08: validate content-type + magic bytes, cap size; store outside webroot; strip EXIF; AV scan"
US-007,Project Management,Create project,authenticated user,to create a project with name / client / description,I can group my estimation work,"Submitting a name creates a project persisted to my user and selects it in the sidebar; name required",High,3,Partial (UI in-memory only),"A01: project owned by and scoped to creating user; A03: sanitize name/description against stored XSS"
US-008,Project Management,List / select projects,authenticated user,to see my projects and open one,I can switch between workspaces,"On load only my projects appear; selecting one loads its conversations and views",High,3,Partial (UI in-memory only),"A01: server returns only the authenticated user's projects (prevent IDOR)"
US-009,Project Management,Edit / delete project,authenticated user,to rename or delete a project,I can keep my workspace tidy,"Editing/deleting a project I own persists; delete cascades to conversations/requirements/modules/estimations after a confirmation prompt",Medium,3,Not built,"A01: ownership check before mutate/delete; confirm destructive action; A09: audit deletions"
US-010,Project Management,Update project status,authenticated user,to set status (Draft / In Progress / Completed),I know where each estimation stands,"Changing status persists it and shows it in listings",Low,2,Not built,"A01: ownership check; validate status against allowed set"
US-011,Requirement Gathering,Conversational requirement capture,user,to describe my project in chat and have requirements gathered,I avoid long forms,"Sending a description runs the requirements agent, replies conversationally, and persists each turn; response returns within the latency budget",High,8,Built,"A03: validate conversation_id/message; treat model output as untrusted; A10 SSRF: outbound only to configured LLM; A04: rate-limit chat"
US-012,Requirement Gathering,Detect missing requirements,user,to be told what information is still missing,I know what to provide before estimation,"Incomplete input yields isMatched=false and a populated missingRequirements list; projectDetails stays null until complete",High,5,Built,"A03: server never trusts client-supplied isMatched; persistence derived from agent result"
US-013,Requirement Gathering,Persist completed requirements,user,to have finalized requirements saved,I can revisit and estimate from them,"When the agent returns isMatched=true with projectDetails, a single requirements row is upserted per conversation and rendered as a structured card",High,5,Built,"A01: requirement tied to owned conversation/project; A08: upsert keyed by conversation to avoid duplicates"
US-014,Requirement Gathering,Reload chat history,user,to reopen a conversation and see prior messages,I can continue where I left off,"Opening a conversation returns messages ordered by creation with role and kind so structured cards re-render",Medium,3,Built,"A01: only owner can read a conversation's history (no IDOR on conversationId)"
US-015,Requirement Gathering,Upload requirement documents,user,to attach documents to seed requirements,the assistant can extract requirements from my files,"Drag-drop or picker accepts allowed types/size; extracted text feeds the requirements agent; unsupported/oversized files rejected",Medium,8,Partial (UI affordance only),"A03/A08: content-type + size validation, sandbox parsing; A10: no external fetch from file content"
US-016,Orchestration,Single-entry orchestrated chat,user,to send one message and have it routed to the right agent,I do not have to pick tools manually,"Orchestrator routes each message to analyze_requirements or estimate_modules (or a plain reply), persists the turn and any structured result, and returns a uniform response with tool_invoked/kind/data",High,8,Built,"A03: validate inputs; A09: log tool routing decisions; server derives persistence, not client"
US-017,Orchestration,Pipeline progress visibility,user,to see which estimation stage is running,I understand progress across the pipeline,"The pipeline bar shows each agent as pending/active/completed and advances as stages finish",Medium,3,Partial (UI only),"A09: reflect only server-confirmed state to avoid misleading progress"
US-018,Module Estimation,Decompose requirements into modules,user,to break my completed requirements into software modules,I can see the building blocks of my project,"Given completed requirements, running estimation returns a module list (name, description, is_required, dependencies), replaces any prior set for the conversation, and persists it",High,8,Built,"A03: validate conversation_id + projectDetails present; A01: modules scoped to owned conversation"
US-019,Module Estimation,View and edit modules,user,to review add edit or remove modules,I can correct the AI's decomposition,"The Modules view lists persisted modules; I can add/edit/remove entries and set complexity; changes persist",Medium,5,Partial (UI in-memory only),"A01: mutate only modules of owned project; A03: validate names and complexity enum"
US-020,Module Estimation,Assign module complexity,user,to set a complexity level per module,estimation reflects relative effort,"Each module accepts Low/Medium/High; the value persists and feeds effort estimation",Medium,3,Partial (UI only),"A03: validate complexity against allowed set"
US-021,User Stories,Generate user stories per module,user,to auto-generate user stories for each module,I get a work breakdown without writing them all,"For a module, the agent produces stories with title, description, priority and story points, each linked to the module and project, and persisted",High,8,Not built,"A03: validate module ownership; treat generated text as untrusted before render; A04: rate-limit generation"
US-022,User Stories,Edit and prioritize user stories,user,to edit reprioritize or delete generated stories,the backlog matches reality,"I can edit fields, change priority, set story points, and delete stories I own; changes persist",Medium,5,Not built,"A01: ownership check on each story; A03: validate priority/points ranges"
US-023,User Stories,Acceptance criteria per story/module,user,to capture acceptance criteria,scope is testable and unambiguous,"I can add/edit/remove acceptance criteria linked to a module or story; they persist and appear in exports",Medium,5,Not built,"A01: ownership check; A03: sanitize criteria text"
US-024,Subtasks & Effort,Break stories into subtasks,user,to decompose stories into subtasks with estimated hours,I get granular effort figures,"For a story, the agent generates subtasks (name, description, type, complexity, estimated hours) linked to the story; totals roll up",High,8,Not built,"A03: validate story ownership; bound numeric hours; treat AI output as untrusted"
US-025,Subtasks & Effort,Edit subtask estimates,user,to adjust subtask hours and complexity,estimates reflect my judgement,"I can edit estimated hours/type/complexity of my subtasks; totals recompute and persist",Medium,3,Not built,"A01: ownership check; A03: validate numeric ranges to prevent overflow/negative"
US-026,Complexity Assessment,Assess module complexity with scoring,user,to get an AI complexity score and reasons per module,I understand risk drivers behind estimates,"Each module gets a complexity level, numeric score, and reasons, persisted and shown alongside the module",Medium,5,Not built,"A03: validate module ownership; bound score range; sanitize reasons"
US-027,Module Estimation,Estimate hours and confidence per module,user,to see estimated hours and a confidence score per module,I can gauge reliability of each estimate,"Each module shows estimated hours and a confidence score derived from complexity/subtasks; values persist",High,5,Not built,"A03: bound numeric outputs; A01: scoped to owned project"
US-028,Project Estimation,Roll up total project estimate,user,to see total hours/days/weeks with a risk buffer and confidence,I can quote the whole project,"Totals aggregate module/subtask hours, apply a risk-buffer, and yield final hours plus overall confidence; a single project-estimation snapshot persists and recomputes when inputs change",High,8,Not built,"A01: scoped to owned project; A08: recompute server-side, never trust client totals; A09: log recomputes"
US-029,Assumptions,Capture project assumptions,user,to record assumptions with a category,estimates are transparent about what they rely on,"I can add/edit/remove assumptions (description + category) linked to the project; they persist and appear in the proposal",Medium,3,Partial (UI in-memory only),"A01: ownership check; A03: sanitize description against stored XSS"
US-030,Assumptions,AI-suggested assumptions,user,to have the assistant suggest likely assumptions,I do not miss common caveats,"The agent proposes assumptions from the requirements; I can accept, edit, or dismiss each; accepted ones persist",Low,5,Not built,"A03: treat AI suggestions as untrusted until accepted; A04: rate-limit generation"
US-031,Risks,Capture project risks,user,to record risks with severity and mitigation,stakeholders see delivery risk,"I can add/edit/remove risks (description, severity, mitigation) linked to the project; they persist and appear in the proposal",Medium,3,Partial (UI in-memory only),"A01: ownership check; A03: validate severity enum; sanitize text"
US-032,Risks,AI-suggested risks and mitigations,user,to have the assistant surface risks,I get a fuller risk register,"The agent proposes risks with suggested mitigations from requirements/modules; I can accept/edit/dismiss; accepted persist",Low,5,Not built,"A03: treat AI output as untrusted; A04: rate-limit generation"
US-033,Proposal,Generate proposal document,user,to auto-generate a proposal from all collected data,I can deliver a client-ready document,"The agent compiles objective, scope, modules, stories, estimates, assumptions and risks into a formatted proposal stored per project and opened in the editor",High,8,Partial (UI editor with template only),"A03: sanitize/escape all interpolated data to prevent HTML/stored XSS in the doc; A01: scoped to owned project"
US-034,Proposal,Edit proposal in rich-text editor,user,to refine the generated proposal,the final document matches my voice,"The TipTap editor supports headings, tables, lists, alignment, links; edits persist as a proposal version",Medium,5,Built,"A03: sanitize pasted HTML; restrict link protocols (no javascript:) ; A05: safe editor config"
US-035,Proposal,Export / download proposal,user,to export the proposal (e.g. PDF/DOCX),I can share it outside the tool,"Exporting produces a file matching the on-screen layout; export reflects the latest saved content",Medium,5,Partial (download affordance only),"A03: sanitize before render; A08: generate server-side from stored content where possible for integrity"
US-036,Proposal,Version and revisit proposals,user,to keep and reopen prior proposal versions,I can compare or roll back,"Each generation/save creates a dated version I can reopen; the latest is shown by default",Low,5,Not built,"A01: ownership check on version access; A09: record who generated each version"
US-037,Cross-cutting,Theme (light/dark) toggle,user,to switch between light and dark themes,the UI suits my environment,"Toggling theme updates the UI immediately and persists the preference across reloads",Low,2,Built,"A05: no security impact; store preference client-side only"
US-038,Cross-cutting,Responsive and accessible UI,user,to use the tool on varied screens with assistive tech,the product is usable and compliant,"Core flows are keyboard-navigable, have visible focus and ARIA labels, and meet WCAG AA contrast; layout adapts to smaller widths",Medium,5,Partial,"Accessibility per WCAG 2.1 AA; full validation needs manual AT testing and expert review"
